iter	Passed	Remaining
864	1757	274
865	1759	272
866	1761	270
867	1763	268
868	1764	266
869	1765	263
870	1767	261
871	1768	259
872	1770	257
873	1773	255
874	1775	253
875	1776	251
876	1777	249
877	1778	247
878	1780	245
879	1781	242
880	1782	240
881	1787	239
882	1789	237
883	1790	234
884	1791	232
885	1794	230
886	1796	228
887	1798	226
888	1800	224
889	1801	222
890	1803	220
891	1804	218
892	1805	216
893	1806	214
894	1809	212
895	1811	210
896	1812	208
897	1813	206
898	1815	204
899	1817	201
900	1818	199
901	1819	197
902	1821	195
903	1822	193
904	1824	191
905	1826	189
906	1827	187
907	1830	185
908	1831	183
909	1833	181
910	1834	179
911	1840	177
912	1842	175
913	1844	173
914	1846	171
915	1848	169
916	1849	167
917	1850	165
918	1852	163
919	1854	161
920	1856	159
921	1857	157
922	1858	155
923	1860	152
924	1861	150
925	1862	148
926	1863	146
927	1868	144
928	1870	142
929	1872	140
930	1875	138
931	1876	136
932	1877	134
933	1879	132
934	1881	130
935	1883	128
936	1885	126
937	1886	124
938	1887	122
939	1889	120
940	1890	118
941	1891	116
942	1893	114
943	1894	112
944	1898	110
945	1900	108
946	1901	106
947	1903	104
948	1904	102
949	1905	100
950	1907	98
951	1908	96
952	1910	94
953	1912	92
954	1913	90
955	1914	88
956	1916	86
957	1918	84
958	1919	82
959	1921	80
960	1923	78
961	1926	76
962	1928	74
963	1929	72
964	1931	70
965	1933	68
966	1935	66
967	1936	64
968	1938	62
969	1940	60
970	1942	58
971	1944	56
972	1945	53
973	1947	51
974	1948	49
975	1949	47
976	1951	45
977	1952	43
978	1959	42
979	1963	40
980	1964	38
981	1965	36
982	1967	34
983	1970	32
984	1972	30
985	1974	28
986	1976	26
987	1978	24
988	1980	22
989	1982	20
990	1987	18
991	1988	16
992	1990	14
993	1992	12
994	1994	10
995	1995	8
996	1996	6
997	1998	4
998	2000	2
999	2001	0
